
BUSES AND NODES IN ACTIVE CIRCUIT: grid_model

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...

"sourcebus"  10.000          (           NA,            NA )     No           3          1    2    3 
"1"           0.400          ( 77.046       , 124.636      )     No           3          1    2    3 
"2"           0.400          ( 77.1185005   , 124.948      )     No           3          1    2    3 
"3"           0.400          ( 77.129       , 124.995      )     No           3          1    2    3 
"4"           0.400          ( 77.14        , 125.035      )     No           3          1    2    3 
"5"           0.400          ( 77.146999    , 125.08       )     No           3          1    2    3 
"6"           0.400          ( 77.148       , 125.117      )     No           3          1    2    3 
"7"           0.400          ( 77.132       , 125.143      )     No           3          1    2    3 
"8"           0.400          ( 77.106       , 125.167      )     No           3          1    2    3 
"9"           0.400          ( 76.816001    , 125.241      )     No           3          1    2    3 
"10"          0.400          ( 76.495102383 , 125.31879684 )     No           3          1    2    3 
"11"          0.400          ( 76.772       , 126.881      )     No           3          1    2    3 
"12"          0.400          ( 76.909       , 127.132      )     No           3          1    2    3 
"13"          0.400          ( 77.103999    , 127.204      )     No           3          1    2    3 
"14"          0.400          ( 77.444       , 127.138      )     No           3          1    2    3 
"15"          0.400          ( 78.452       , 126.910001   )     No           3          1    2    3 
"16"          0.400          ( 78.452       , 126.910001   )     No           3          1    2    3 
"17"          0.400          ( 78.441999    , 126.963      )     No           3          1    2    3 
"18"          0.400          ( 98.58        , 121.723      )     No           3          1    2    3 
"19"          0.400          ( 98.58        , 121.723      )     No           3          1    2    3 
"20"          0.400          ( 78.430999    , 127.037      )     No           3          1    2    3 
"21"          0.400          ( 105.688001   , 119.765001   )     No           3          1    2    3 
"22"          0.400          ( 105.688001   , 119.765001   )     No           3          1    2    3 
"23"          0.400          ( 78.367001    , 127.101      )     No           3          1    2    3 
"24"          0.400          ( 106.133      , 119.679      )     No           3          1    2    3 
"25"          0.400          ( 106.133      , 119.679      )     No           3          1    2    3 
"26"          0.400          ( 78.239999    , 127.154001   )     No           3          1    2    3 
"27"          0.400          ( 106.586      , 119.664      )     No           3          1    2    3 
"28"          0.400          ( 106.586      , 119.664      )     No           3          1    2    3 
"29"          0.400          ( 78.059       , 127.207      )     No           3          1    2    3 
"30"          0.400          ( 107.035      , 119.721      )     No           3          1    2    3 
"31"          0.400          ( 107.035      , 119.721      )     No           3          1    2    3 
"32"          0.400          ( 77.911       , 127.271      )     No           3          1    2    3 
"33"          0.400          ( 107.471      , 119.847      )     No           3          1    2    3 
"34"          0.400          ( 107.471      , 119.847      )     No           3          1    2    3 
"35"          0.400          ( 77.878999    , 127.366      )     No           3          1    2    3 
"36"          0.400          ( 107.843999   , 119.955      )     No           3          1    2    3 
"37"          0.400          ( 107.843999   , 119.955      )     No           3          1    2    3 
"38"          0.400          ( 77.878999    , 127.494001   )     No           3          1    2    3 
"39"          0.400          ( 108.23       , 120.003      )     No           3          1    2    3 
"40"          0.400          ( 108.23       , 120.003      )     No           3          1    2    3 
"41"          0.400          ( 77.889999    , 127.674      )     No           3          1    2    3 
"42"          0.400          ( 108.70223163 , 119.65911351 )     No           3          1    2    3 
"43"          0.400          ( 108.70223163 , 119.65911351 )     No           3          1    2    3 
"44"          0.400          ( 78.07        , 128.406      )     No           3          1    2    3 
"45"          0.400          ( 109.001      , 119.916      )     No           3          1    2    3 
"46"          0.400          ( 109.001      , 119.916      )     No           3          1    2    3 
"47"          0.400          ( 108.829      , 119.691001   )     No           3          1    2    3 
"48"          0.400          ( 107.855001   , 119.446      )     No           3          1    2    3 
"49"          0.400          ( 79.446       , 134.730999   )     No           3          1    2    3 
"50"          0.400          ( 109.767001   , 119.638      )     No           3          1    2    3 
"51"          0.400          ( 109.767001   , 119.638      )     No           3          1    2    3 
"52"          0.400          ( 109.579      , 119.643001   )     No           3          1    2    3 
"53"          0.400          ( 107.977      , 119.32       )     No           3          1    2    3 
"54"          0.400          ( 107.274      , 119.18       )     No           3          1    2    3 
"55"          0.400          ( 107.977      , 119.32       )     No           3          1    2    3 
"56"          0.400          ( 79.180001    , 134.455      )     No           3          1    2    3 
"57"          0.400          ( 109.822999   , 119.628      )     No           3          1    2    3 
"58"          0.400          ( 108.01       , 119.291      )     No           3          1    2    3 
"59"          0.400          ( 108.01       , 119.291      )     No           3          1    2    3 
"60"          0.400          ( 106.800001   , 118.756      )     No           3          1    2    3 
"61"          0.400          ( 78.945       , 134.338001   )     No           3          1    2    3 
"62"          0.400          ( 112.711999   , 119.008      )     No           3          1    2    3 
"63"          0.400          ( 108.049001   , 119.268001   )     No           3          1    2    3 
"64"          0.400          ( 108.049001   , 119.268001   )     No           3          1    2    3 
"65"          0.400          ( 106.375      , 118.326      )     No           3          1    2    3 
"66"          0.400          ( 78.632999    , 134.338001   )     No           3          1    2    3 
"67"          0.400          ( 114.838      , 118.552      )     No           3          1    2    3 
"68"          0.400          ( 112.917001   , 118.613      )     No           3          1    2    3 
"69"          0.400          ( 112.341001   , 118.715      )     No           3          1    2    3 
"70"          0.400          ( 108.091      , 119.253      )     No           3          1    2    3 
"71"          0.400          ( 108.091      , 119.253      )     No           3          1    2    3 
"72"          0.400          ( 106.022      , 117.852      )     No           3          1    2    3 
"73"          0.400          ( 78.165001    , 134.435      )     No           3          1    2    3 
"74"          0.400          ( 122.851999   , 116.588      )     No           3          1    2    3 
"75"          0.400          ( 112.942      , 118.515      )     No           3          1    2    3 
"76"          0.400          ( 112.32       , 118.477      )     No           3          1    2    3 
"77"          0.400          ( 108.134      , 119.246      )     No           3          1    2    3 
"78"          0.400          ( 108.134      , 119.246      )     No           3          1    2    3 
"79"          0.400          ( 105.782001   , 117.334      )     No           3          1    2    3 
"80"          0.400          ( 74.222       , 135.313      )     No           3          1    2    3 
"81"          0.400          ( 122.93208987 , 116.56836663 )     No           3          1    2    3 
"82"          0.400          ( 112.913999   , 118.426999   )     No           3          1    2    3 
"83"          0.400          ( 112.369      , 118.287      )     No           3          1    2    3 
"84"          0.400          ( 108.179      , 119.247      )     No           3          1    2    3 
"85"          0.400          ( 108.179      , 119.247      )     No           3          1    2    3 
"86"          0.400          ( 105.59       , 116.778      )     No           3          1    2    3 
"87"          0.400          ( 73.537001    , 135.496      )     No           3          1    2    3 
"88"          0.400          ( 123.418001   , 116.309      )     No           3          1    2    3 
"89"          0.400          ( 122.638      , 116.545      )     No           3          1    2    3 
"90"          0.400          ( 124.292      , 116.235      )     No           3          1    2    3 
"91"          0.400          ( 112.854      , 118.243999   )     No           3          1    2    3 
"92"          0.400          ( 112.496      , 118.075      )     No           3          1    2    3 
"93"          0.400          ( 108.222      , 119.257      )     No           3          1    2    3 
"94"          0.400          ( 108.222      , 119.257      )     No           3          1    2    3 
"95"          0.400          ( 105.349      , 115.85       )     No           3          1    2    3 
"96"          0.400          ( 73.074       , 135.708      )     No           3          1    2    3 
"97"          0.400          ( 123.505999   , 116.237      )     No           3          1    2    3 
"98"          0.400          ( 122.538      , 116.501      )     No           3          1    2    3 
"99"          0.400          ( 140.328      , 112.595      )     No           3          1    2    3 
"100"         0.400          ( 124.506      , 116.019      )     No           3          1    2    3 
"101"         0.400          ( 112.787      , 118.022      )     No           3          1    2    3 
"102"         0.400          ( 111.353001   , 111.662      )     No           3          1    2    3 
"103"         0.400          ( 108.263999   , 119.274      )     No           3          1    2    3 
"104"         0.400          ( 108.263999   , 119.274      )     No           3          1    2    3 
"105"         0.400          ( 103.955      , 110.065      )     No           3          1    2    3 
"106"         0.400          ( 72.628999    , 135.979      )     No           3          1    2    3 
"107"         0.400          ( 123.590001   , 116.132      )     No           3          1    2    3 
"108"         0.400          ( 122.486001   , 116.422      )     No           3          1    2    3 
"109"         0.400          ( 142.093001   , 112.561      )     No           3          1    2    3 
"110"         0.400          ( 124.617999   , 115.944      )     No           3          1    2    3 
"111"         0.400          ( 113.314999   , 111.219      )     No           3          1    2    3 
"112"         0.400          ( 107.999999   , 104.261      )     No           3          1    2    3 
"113"         0.400          ( 108.301      , 119.298      )     No           3          1    2    3 
"114"         0.400          ( 108.301      , 119.298      )     No           3          1    2    3 
"115"         0.400          ( 101.174      , 97.911999    )     No           3          1    2    3 
"116"         0.400          ( 104.254999   , 110.4        )     No           3          1    2    3 
"117"         0.400          ( 72.211       , 136.323      )     No           3          1    2    3 
