,PV_1,PV_2,PV_3,PV_4,PV_5,PV_6,PV_7,PV_8,PV_9,PV_10,PV_11,PV_12
2024-10-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 00:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 01:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 02:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 03:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 04:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16 05:05:00,0.0025713048577308,0.0025713048577308,0.0025713048577308,0.0025713048577308,0.0025713048577308,0.0025713048577308,0.0025713048577308,0.0025713048577308,0.0025713048577308,0.0025713048577308,0.0025713048577308,0.0025713048577308
2024-10-16 05:10:00,0.0034931443333624,0.0034931443333624,0.0034931443333624,0.0034931443333624,0.0034931443333624,0.0034931443333624,0.0034931443333624,0.0034931443333624,0.0034931443333624,0.0034931443333624,0.0034931443333624,0.0034931443333624
2024-10-16 05:15:00,0.0037588712573048,0.0037588712573048,0.0037588712573048,0.0037588712573048,0.0037588712573048,0.0037588712573048,0.0037588712573048,0.0037588712573048,0.0037588712573048,0.0037588712573048,0.0037588712573048,0.0037588712573048
2024-10-16 05:20:00,0.0041237308979032,0.0041237308979032,0.0041237308979032,0.0041237308979032,0.0041237308979032,0.0041237308979032,0.0041237308979032,0.0041237308979032,0.0041237308979032,0.0041237308979032,0.0041237308979032,0.0041237308979032
2024-10-16 05:25:00,0.0043770325183868,0.0043770325183868,0.0043770325183868,0.0043770325183868,0.0043770325183868,0.0043770325183868,0.0043770325183868,0.0043770325183868,0.0043770325183868,0.0043770325183868,0.0043770325183868,0.0043770325183868
2024-10-16 05:30:00,0.0047919987440108,0.0047919987440108,0.0047919987440108,0.0047919987440108,0.0047919987440108,0.0047919987440108,0.0047919987440108,0.0047919987440108,0.0047919987440108,0.0047919987440108,0.0047919987440108,0.0047919987440108
2024-10-16 05:35:00,0.0060144777297972,0.0060144777297972,0.0060144777297972,0.0060144777297972,0.0060144777297972,0.0060144777297972,0.0060144777297972,0.0060144777297972,0.0060144777297972,0.0060144777297972,0.0060144777297972,0.0060144777297972
2024-10-16 05:40:00,0.008327078580856,0.008327078580856,0.008327078580856,0.008327078580856,0.008327078580856,0.008327078580856,0.008327078580856,0.008327078580856,0.008327078580856,0.008327078580856,0.008327078580856,0.008327078580856
2024-10-16 05:45:00,0.0107193636894224,0.0107193636894224,0.0107193636894224,0.0107193636894224,0.0107193636894224,0.0107193636894224,0.0107193636894224,0.0107193636894224,0.0107193636894224,0.0107193636894224,0.0107193636894224,0.0107193636894224
2024-10-16 05:50:00,0.0100199649333952,0.0100199649333952,0.0100199649333952,0.0100199649333952,0.0100199649333952,0.0100199649333952,0.0100199649333952,0.0100199649333952,0.0100199649333952,0.0100199649333952,0.0100199649333952,0.0100199649333952
2024-10-16 05:55:00,0.009146206140518,0.009146206140518,0.009146206140518,0.009146206140518,0.009146206140518,0.009146206140518,0.009146206140518,0.009146206140518,0.009146206140518,0.009146206140518,0.009146206140518,0.009146206140518
2024-10-16 06:00:00,0.0198725926876068,0.0198725926876068,0.0198725926876068,0.0198725926876068,0.0198725926876068,0.0198725926876068,0.0198725926876068,0.0198725926876068,0.0198725926876068,0.0198725926876068,0.0198725926876068,0.0198725926876068
2024-10-16 06:05:00,0.0285424487590788,0.0285424487590788,0.0285424487590788,0.0285424487590788,0.0285424487590788,0.0285424487590788,0.0285424487590788,0.0285424487590788,0.0285424487590788,0.0285424487590788,0.0285424487590788,0.0285424487590788
2024-10-16 06:10:00,0.0392587060928344,0.0392587060928344,0.0392587060928344,0.0392587060928344,0.0392587060928344,0.0392587060928344,0.0392587060928344,0.0392587060928344,0.0392587060928344,0.0392587060928344,0.0392587060928344,0.0392587060928344
2024-10-16 06:15:00,0.067189881324768,0.067189881324768,0.067189881324768,0.067189881324768,0.067189881324768,0.067189881324768,0.067189881324768,0.067189881324768,0.067189881324768,0.067189881324768,0.067189881324768,0.067189881324768
2024-10-16 06:20:00,0.104773057937622,0.104773057937622,0.104773057937622,0.104773057937622,0.104773057937622,0.104773057937622,0.104773057937622,0.104773057937622,0.104773057937622,0.104773057937622,0.104773057937622,0.104773057937622
2024-10-16 06:25:00,0.1677566928863524,0.1677566928863524,0.1677566928863524,0.1677566928863524,0.1677566928863524,0.1677566928863524,0.1677566928863524,0.1677566928863524,0.1677566928863524,0.1677566928863524,0.1677566928863524,0.1677566928863524
2024-10-16 06:30:00,0.232711498260498,0.232711498260498,0.232711498260498,0.232711498260498,0.232711498260498,0.232711498260498,0.232711498260498,0.232711498260498,0.232711498260498,0.232711498260498,0.232711498260498,0.232711498260498
2024-10-16 06:35:00,0.3294512901306152,0.3294512901306152,0.3294512901306152,0.3294512901306152,0.3294512901306152,0.3294512901306152,0.3294512901306152,0.3294512901306152,0.3294512901306152,0.3294512901306152,0.3294512901306152,0.3294512901306152
2024-10-16 06:40:00,0.4388774337768552,0.4388774337768552,0.4388774337768552,0.4388774337768552,0.4388774337768552,0.4388774337768552,0.4388774337768552,0.4388774337768552,0.4388774337768552,0.4388774337768552,0.4388774337768552,0.4388774337768552
2024-10-16 06:45:00,0.5018406829833983,0.5018406829833983,0.5018406829833983,0.5018406829833983,0.5018406829833983,0.5018406829833983,0.5018406829833983,0.5018406829833983,0.5018406829833983,0.5018406829833983,0.5018406829833983,0.5018406829833983
